Train_MSE,Train_MURE,Val_MSE,Val_MURE,SSIM
0.07227247664475386,0.07177206133629088,0.020447500795125962,0.020294962145835548,0.45231416368484495
0.017247487198978565,0.01702011645894917,0.01342439229041338,0.013171735402297092,0.5694497219026089
0.012324518258973462,0.012003561388221244,0.011189648196101189,0.010740515756618869,0.652358642578125
0.009793482983639211,0.009389585203455899,0.00953725192695856,0.009062084553181738,0.6967732760310174
0.00909217667321129,0.008625722848832085,0.00897776798158884,0.00848191956232444,0.7176342144608497
0.008548090363804424,0.008025967664246743,0.008649164877831936,0.008082582897305205,0.7242736411690712
0.008219243387111339,0.007640906387863155,0.00742501525580883,0.006800192956751335,0.7344397554993629
0.007860900817936702,0.007220568027914825,0.007930204711854457,0.007253045425891931,0.7402093304991723
0.007570693193102216,0.006871925890347568,0.008118136279284954,0.007343567452354433,0.7489824654459953
0.007396466399286526,0.006631709195852341,0.007486393041908741,0.00669984252085934,0.7569493188858032
